sequential_entry_number,original_record_id,bank,record_type,exact_japanese_source,romaji,reconstructed_japanese,literal_english_meaning,linguistic_and_cultural_notes,speaker_or_narration_identity,current_english,problems_with_current_english,final_natural_english_translation,patch_safe_english_translation,confidence_level,unresolved_ambiguity,translation_status,scene,source_location,apparent_capacity,source_control_codes,patch_control_codes,control_codes_match,problem_categories,dialect_or_register,requires_gameplay_context,requires_technical_expansion,nuance_lost_in_patch_safe_version
434,TT3A/g1/r2,TT3A,scenario,おとこくささが むっとくる,otokokusasaga muttokuru,おとこくささが むっとくる,It reeks of men.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It reeks of men.,Accurate,It reeks of men.,It reeks of men.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 2,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
435,TT3A/g1/r3,TT3A,scenario,とくに かわったところはない,tokuni kawattatokorohanai,とくに かわったところはない,Nothing unusual.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Nothing unusual.,Accurate,Nothing unusual.,Nothing unusual.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 3,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
436,TT3A/g1/r4,TT3A,scenario,とんねるの あながあいている,tonneruno anagaaiteiru,とんねるの あながあいている,A tunnel opening.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,A tunnel opening.,Accurate,A tunnel opening.,A tunnel opening.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 4,current draft 17 visible characters; longest control-delimited segment 17/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
437,TT3A/g1/r5,TT3A,scenario,ゆかにはった たいるのすきまに{CTRL:0}みずが ながれこんでいる,yukanihatta tairunosukimani / mizuga nagarekondeiru,ゆかにはった たいるのすきまに みずが ながれこんでいる,Water runs between tiles laid across the floor.,stutter/restart is meaningful performance Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Water runs between tiles{CTRL:0}laid across the floor.,Accurate,Water runs between tiles laid across the floor.,Water runs between tiles{CTRL:0}laid across the floor.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 5,current draft 46 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,0,0,yes,Accurate,stutter/restart is meaningful performance,no,no,
438,TT3A/g1/r6,TT3A,scenario,くちゃくちゃと ちゅーいんがむを{CTRL:0}かんでいる,kuchakuchato chuuingamuo / kandeiru,くちゃくちゃと ちゅーいんがむを かんでいる,He is chewing gum with loud smacks.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,He is chewing gum{CTRL:0}with loud smacks.,Accurate,He is chewing gum with loud smacks.,He is chewing gum{CTRL:0}with loud smacks.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 6,current draft 34 visible characters; longest control-delimited segment 17/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
439,TT3A/g1/r7,TT3A,scenario,てんじょうをみすえる よこがおが{CTRL:0}なかなかに しぶい,tenjouomisueru yokogaoga / nakanakani shibui,てんじょうをみすえる よこがおが なかなかに しぶい,"His profile, staring at the ceiling, looks cool.",Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,"His profile, staring at{CTRL:0}the ceiling, looks cool.",Accurate,"His profile, staring at the ceiling, looks cool.","His profile, staring at{CTRL:0}the ceiling, looks cool.",High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 7,current draft 47 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
440,TT3A/g1/r8,TT3A,scenario,つかれきったかおが ほりょせいかつのながさを{CTRL:0}おしえている,tsukarekittakaoga horyoseikatsunonagasao / oshieteiru,つかれきったかおが ほりょせいかつのながさを おしえている,His worn face shows how long he has been a POW.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,His worn face shows how{CTRL:0}long he has been a POW.,Accurate,His worn face shows how long he has been a POW.,His worn face shows how{CTRL:0}long he has been a POW.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 8,current draft 46 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
441,TT3A/g1/r9,TT3A,scenario,"ふらんきー「これを もってけ…」{CTRL:1}さしだしたてのひらに ぺんだんとがのっている{CTRL:2}ふらんきー「せんそうへいく まえのばんに{CTRL:0} ばあちゃんからもらった{CTRL:4} ""じぷしーのまもりふだ"" だ{CTRL:3} これさえあれば こわいもんなしだぜ」{CTRL:3}ぺんだんとをうけとり くびにかけた{CTRL:3}ふらんきー「ぐっどらっく……」","furankii「koreo motteke…」 / sashidashitatenohirani pendantoganotteiru / furankii「sensouheiku maenobanni /  baachankaramoratta /  ""jipushiinomamorifuda"" da /  koresaeareba kowaimonnashidaze」 / pendantoouketori kubinikaketa / furankii「guddorakku……」","フランキー「これを もってけ…」 さしだしたてのひらに ぺんだんとがのっている フランキー「戦争へいく まえのばんに ばあちゃんからもらった ""じぷしーのまもりふだ"" だ これさえあれば こわいもんなしだぜ」 ぺんだんとをうけとり くびにかけた フランキー「ぐっどらっく……」","Frankie: Take this… a pendant. Frankie: From Grandma, before I went to war. A Gypsy charm. It wards off fear. I wear it. Frankie: Good luck…","ぜ: rough masculine emphasis; ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Frankie,"Frankie: Take this...{CTRL:1}a pendant.{CTRL:2}Frankie: From Grandma,{CTRL:0}before I went to war.{CTRL:4}A Gypsy charm.{CTRL:3}It wards off fear.{CTRL:3}I wear it.{CTRL:3}Frankie: Good luck...",Accurate,"Frankie: Take this… a pendant. Frankie: From Grandma, before I went to war. A Gypsy charm. It wards off fear. I wear it. Frankie: Good luck…","Frankie: Take this...{CTRL:1}a pendant.{CTRL:2}Frankie: From Grandma,{CTRL:0}before I went to war.{CTRL:4}A Gypsy charm.{CTRL:3}It wards off fear.{CTRL:3}I wear it.{CTRL:3}Frankie: Good luck...",High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 9,current draft 137 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,"1,2,0,4,3,3,3","1,2,0,4,3,3,3",yes,Accurate,"ぜ: rough masculine emphasis; ellipsis carries hesitation, silence, or timing",no,no,
442,TT3A/g1/r10,TT3A,scenario,ぐっすりと ねむっている…… ようだ,gussurito nemutteiru…… youda,ぐっすりと ねむっている…… ようだ,He seems sound asleep…,"ellipsis carries hesitation, silence, or timing Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Narration / protagonist's internal observation / interaction text,He seems sound asleep...,Accurate,He seems sound asleep…,He seems sound asleep...,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 10,current draft 24 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,,,yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
443,TT3A/g1/r11,TT3A,scenario,ひが さかんにもえている,higa sakannimoeteiru,ひが さかんにもえている,The fire blazes.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,The fire blazes.,Accurate,The fire blazes.,The fire blazes.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 11,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
444,TT3A/g1/r12,TT3A,scenario,ひは もうきえている,hiha moukieteiru,ひは もうきえている,The fire is out.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,The fire is out.,Accurate,The fire is out.,The fire is out.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 12,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
445,TT3A/g1/r13,TT3A,scenario,しーつのまんなかあたりが すこしふくらんでいる,shiitsunomannakaatariga sukoshifukurandeiru,しーつのまんなかあたりが すこしふくらんでいる,The sheet bulges midway.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,The sheet bulges midway.,Accurate,The sheet bulges midway.,The sheet bulges midway.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 13,current draft 24 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
446,TT3A/g1/r14,TT3A,scenario,だっそうようの ふくがおいてある,dassouyouno fukugaoitearu,だっそうようの ふくがおいてある,Escape clothes are here.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Escape clothes are here.,Accurate,Escape clothes are here.,Escape clothes are here.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 14,current draft 24 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
447,TT3A/g1/r15,TT3A,scenario,まっとれすのしたから かすかに{CTRL:0}ひかりがもれている,mattoresunoshitakara kasukani / hikarigamoreteiru,まっとれすのしたから かすかに ひかりがもれている,A faint light shines from under the mattress.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,A faint light shines{CTRL:0}from under the mattress.,Accurate,A faint light shines from under the mattress.,A faint light shines{CTRL:0}from under the mattress.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 15,current draft 44 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
448,TT3A/g1/r16,TT3A,scenario,ひとりようの せまいこしつだ,hitoriyouno semaikoshitsuda,ひとりようの せまいこしつだ,A tiny single room.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,A tiny single room.,Accurate,A tiny single room.,A tiny single room.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 16,current draft 19 visible characters; longest control-delimited segment 19/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
449,TT3A/g1/r17,TT3A,scenario,ほしがたのめだるに もじがきざまれているが{CTRL:0}さびつていて かいどくできない,hoshigatanomedaruni mojigakizamareteiruga / sabitsuteite kaidokudekinai,ほしがたのめだるに もじがきざまれているが さびつていて かいどくできない,"Words on a star medal, too rusty to read.",Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,"Words on a star medal,{CTRL:0}too rusty to read.",Accurate,"Words on a star medal, too rusty to read.","Words on a star medal,{CTRL:0}too rusty to read.",High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 17,current draft 40 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
450,TT3A/g1/r18,TT3A,scenario,にっく「ざんねんだったな くーがー{CTRL:0} こんどは うまくやれよ」,nikku「zannendattana kuugaa /  kondoha umakuyareyo」,ニック「ざんねんだったな クーガー こんどは うまくやれよ」,"Nick: Bad luck, Cougar. Do better next time.",Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Nick,"Nick: Bad luck, Cougar.{CTRL:0}Do better next time.",Accurate,"Nick: Bad luck, Cougar. Do better next time.","Nick: Bad luck, Cougar.{CTRL:0}Do better next time.",High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 18,current draft 43 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
451,TT3A/g1/r19,TT3A,scenario,にっく「ひとらーの あんさつけいかくが{CTRL:0} しっぱいしたそうだ まったく あくうんの{CTRL:0} つええやろうだぜ」,nikku「hitoraano ansatsukeikakuga /  shippaishitasouda mattaku akuunno /  tsueeyaroudaze」,ニック「ヒトラーの あんさつけいかくが しっぱいしたそうだ まったく あくうんの つええやろうだぜ」,Nick: Assassination plot against Hitler failed. That bastard's lucky.,ぜ: rough masculine emphasis Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Nick,Nick: Assassination plot{CTRL:0}against Hitler failed.{CTRL:0}That bastard's lucky.,Accurate,Nick: Assassination plot against Hitler failed. That bastard's lucky.,Nick: Assassination plot{CTRL:0}against Hitler failed.{CTRL:0}That bastard's lucky.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 19,current draft 67 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,0","0,0",yes,Accurate,ぜ: rough masculine emphasis,no,no,
452,TT3A/g1/r20,TT3A,scenario,にっく「いいかげんにしろよな…」,nikku「iikagennishiroyona…」,ニック「いいかげんにしろよな…」,Nick: Give it a rest…,"ellipsis carries hesitation, silence, or timing Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Nick,Nick: Give it a rest...,Accurate,Nick: Give it a rest…,Nick: Give it a rest...,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 20,current draft 23 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,,,yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
453,TT3A/g1/r21,TT3A,scenario,"らるふ「もりへでたらまっすぐ にしへむかえ{CTRL:1} しばらくいくと こうえんがみえてくる{CTRL:0} そこで ""れべっか"" のしじをあおげ」{CTRL:6}おれ「れべっか！」{CTRL:3}らるふ「とうぼうそしきの あんごうめいだ{CTRL:4} あいことばは ""くたばれ ひとらー／""」","rarufu「morihedetaramassugu nishihemukae /  shibarakuikuto kouengamietekuru /  sokode ""rebekka"" noshijioaoge」 / ore「rebekka！」 / rarufu「toubousoshikino angoumeida /  aikotobaha ""kutabare hitoraa／""」","ラルフ「もりへでたらまっすぐ にしへむかえ しばらくいくと こうえんがみえてくる そこで ""レベッカ"" のしじをあおげ」 おれ「レベッカ！」 ラルフ「とうぼうそしきの あんごうめいだ あいことばは ""くたばれ ヒトラー／""」","Ralph: Head west from the woods to a park. Ask Rebecca for orders. Protagonist: Rebecca?! Ralph: Escape code name Pass: Drop dead, Hitler!",おれ: plain-to-rough masculine first person; ／ functions as a strong display exclamation/beat Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Ralph; Protagonist,"Ralph: Head west from{CTRL:1}the woods to a park.{CTRL:0}Ask Rebecca for orders.{CTRL:6}Me: Rebecca?!{CTRL:3}Ralph: Escape code name{CTRL:4}Pass: Drop dead, Hitler!",Accurate,"Ralph: Head west from the woods to a park. Ask Rebecca for orders. Protagonist: Rebecca?! Ralph: Escape code name Pass: Drop dead, Hitler!","Ralph: Head west from{CTRL:1}the woods to a park.{CTRL:0}Ask Rebecca for orders.{CTRL:6}Me: Rebecca?!{CTRL:3}Ralph: Escape code name{CTRL:4}Pass: Drop dead, Hitler!",High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 21,current draft 124 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"1,0,6,3,4","1,0,6,3,4",yes,Accurate,おれ: plain-to-rough masculine first person; ／ functions as a strong display exclamation/beat,no,no,
454,TT3A/g1/r22,TT3A,scenario,"らるふ「あいことばは ""くたばれ ひとらー／""{CTRL:1} いたるところで げしゅたぽが{CTRL:0} めを ひからせている{CTRL:0} くれぐれもこうどうは しんちょうにな」","rarufu「aikotobaha ""kutabare hitoraa／"" /  itarutokorode geshutapoga /  meo hikaraseteiru /  kureguremokoudouha shinchounina」","ラルフ「あいことばは ""くたばれ ヒトラー／"" いたるところで ゲシュタポが めを ひからせている くれぐれもこうどうは しんちょうにな」","Ralph: Drop dead, Hitler Gestapo are everywhere. Be very careful. Draw no attention.",／ functions as a strong display exclamation/beat Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Ralph,"Ralph: Drop dead, Hitler{CTRL:1}Gestapo are everywhere.{CTRL:0}Be very careful.{CTRL:0}Draw no attention.",Accurate,"Ralph: Drop dead, Hitler Gestapo are everywhere. Be very careful. Draw no attention.","Ralph: Drop dead, Hitler{CTRL:1}Gestapo are everywhere.{CTRL:0}Be very careful.{CTRL:0}Draw no attention.",High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 22,current draft 81 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"1,0,0","1,0,0",yes,Accurate,／ functions as a strong display exclamation/beat,no,no,
455,TT3A/g1/r23,TT3A,scenario,らるふ「しっかりせんか／」,rarufu「shikkarisenka／」,ラルフ「しっかりせんか／」,Ralph: Get a grip!,／ functions as a strong display exclamation/beat Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Ralph,Ralph: Get a grip!,Accurate,Ralph: Get a grip!,Ralph: Get a grip!,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 23,current draft 18 visible characters; longest control-delimited segment 18/24 columns; final fit depends on group recompression,,,yes,Accurate,／ functions as a strong display exclamation/beat,no,no,
456,TT3A/g1/r24,TT3A,scenario,ふらんきー「だっそうするのは おまえひとりだ{CTRL:0} おれたちは しらんぷりするけど{CTRL:0} わるくおもうな」,furankii「dassousurunoha omaehitorida /  oretachiha shiranpurisurukedo /  warukuomouna」,フランキー「だっそうするのは おまえひとりだ おれたちは しらんぷりするけど わるくおもうな」,Frankie: You go alone. We act uninvolved. Do not blame us.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Frankie,Frankie: You go alone.{CTRL:0}We act uninvolved.{CTRL:0}Do not blame us.,Accurate,Frankie: You go alone. We act uninvolved. Do not blame us.,Frankie: You go alone.{CTRL:0}We act uninvolved.{CTRL:0}Do not blame us.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 24,current draft 56 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,"0,0","0,0",yes,Accurate,Unmarked / neutral or context-dependent,no,no,
457,TT3A/g1/r25,TT3A,scenario,ふらんきー「ひとらーのやつ こくないのすぱいや{CTRL:0} はんぎゃくしゃを かたっぱしからつかまえては{CTRL:0} がすしつに おくりこんでるらしい」,furankii「hitoraanoyatsu kokunainosupaiya /  hangyakushao katappashikaratsukamaeteha /  gasushitsuni okurikonderurashii」,フランキー「ヒトラーのやつ こくないのすぱいや はんぎゃくしゃを かたっぱしからつかまえては がすしつに おくりこんでるらしい」,"Frankie: Hitler arrests spies and rebels, then has them gassed.",Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Frankie,"Frankie: Hitler arrests{CTRL:0}spies and rebels,{CTRL:0}then has them gassed.",Accurate,"Frankie: Hitler arrests spies and rebels, then has them gassed.","Frankie: Hitler arrests{CTRL:0}spies and rebels,{CTRL:0}then has them gassed.",High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 25,current draft 61 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,"0,0","0,0",yes,Accurate,Unmarked / neutral or context-dependent,no,no,
458,TT3A/g1/r26,TT3A,scenario,ふらんきー「いま あめりかとどいつが きそって{CTRL:0} かんせいをいそいでいる ひみつへいきがある……{CTRL:2} げんしばくだん といってな たったの1ぱつで{CTRL:0} ぱりが はいのやまにかわる」,furankii「ima amerikatodoitsuga kisotte /  kanseioisoideiru himitsuheikigaaru…… /  genshibakudan toittena tattano1patsude /  pariga hainoyamanikawaru」,フランキー「いま あめりかとどいつが きそって かんせいをいそいでいる ひみつへいきがある…… げんしばくだん といってな たったの1ぱつで ぱりが はいのやまにかわる」,Frankie: America and Germany race to build a secret weapon: atom bomb One turns Paris to ash.,"ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Frankie,Frankie: America and{CTRL:0}Germany race to build a{CTRL:2}secret weapon: atom bomb{CTRL:0}One turns Paris to ash.,Accurate,Frankie: America and Germany race to build a secret weapon: atom bomb One turns Paris to ash.,Frankie: America and{CTRL:0}Germany race to build a{CTRL:2}secret weapon: atom bomb{CTRL:0}One turns Paris to ash.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 26,current draft 90 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2,0","0,2,0",yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
459,TT3A/g1/r27,TT3A,scenario,ふらんきー「どあほ」,furankii「doaho」,フランキー「どあほ」,Frankie: Idiot.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Frankie,Frankie: Idiot.,Accurate,Frankie: Idiot.,Frankie: Idiot.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 27,current draft 15 visible characters; longest control-delimited segment 15/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
460,TT3A/g1/r28,TT3A,scenario,むりだ,murida,むりだ,No chance.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,No chance.,Accurate,No chance.,No chance.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 28,current draft 10 visible characters; longest control-delimited segment 10/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
461,TT3A/g1/r29,TT3A,scenario,ふくを てにいれた,fukuo teniireta,ふくを てにいれた,Obtained the clothes.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Obtained the clothes.,Accurate,Obtained the clothes.,Obtained the clothes.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 29,current draft 21 visible characters; longest control-delimited segment 21/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
462,TT3A/g1/r30,TT3A,scenario,あながあいている とんねるだ……／,anagaaiteiru tonneruda……／,あながあいている とんねるだ……／,An open tunnel…!,"ellipsis carries hesitation, silence, or timing; ／ functions as a strong display exclamation/beat Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Narration / protagonist's internal observation / interaction text,An open tunnel...!,Accurate,An open tunnel…!,An open tunnel...!,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 30,current draft 18 visible characters; longest control-delimited segment 18/24 columns; final fit depends on group recompression,,,yes,Accurate,"ellipsis carries hesitation, silence, or timing; ／ functions as a strong display exclamation/beat",no,no,
463,TT3A/g1/r31,TT3A,scenario,もう はがれない,mou hagarenai,もう はがれない,It will not come off.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It will not come off.,Accurate,It will not come off.,It will not come off.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 1 @ 0xB29C; record 31,current draft 21 visible characters; longest control-delimited segment 21/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
464,TT3A/g2/r0,TT3A,scenario,らるふ「きがえは だっそうしてからだ{CTRL:0} つちで よごれてしまう」,rarufu「kigaeha dassoushitekarada /  tsuchide yogoreteshimau」,ラルフ「きがえは だっそうしてからだ つちで よごれてしまう」,Ralph: Change once free. They'll get dirty.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Ralph,Ralph: Change once free.{CTRL:0}They'll get dirty.,Accurate,Ralph: Change once free. They'll get dirty.,Ralph: Change once free.{CTRL:0}They'll get dirty.,High,,Final proposed,"1944 Germany: POW camp, resistance network, and escape",group 2 @ 0xB5F5; record 0,current draft 42 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
